,0,1,2,3
4931,0.9553848,412328758.0,538004149.0,213.3532
6771,0.95536953,412549011.0,538004149.0,213.36034
27931,0.95492506,553111790.0,538004149.0,211.03127
27563,0.9549082,548954200.0,538004149.0,211.03893
11923,0.954275,440517000.0,538004149.0,207.40794
27181,0.95392907,538004149.0,441427000.0,208.06369
17727,0.9529818,440807000.0,440503000.0,209.12967
17995,0.9520442,440809000.0,538004149.0,204.39455
31070,0.95192236,994110144.0,577201000.0,219.61133
30886,0.95156276,994010684.0,577201000.0,218.00912
27111,0.9513452,538004149.0,440503000.0,214.37865
3813,0.95128196,352001165.0,441427000.0,207.99464
3927,0.95122737,352002409.0,440503000.0,218.89633
13211,0.9510474,440604000.0,538004149.0,204.04184
15971,0.9507831,440751000.0,538004149.0,203.99217
22695,0.95072865,440989000.0,440503000.0,201.36885
3743,0.950299,352001165.0,440503000.0,213.45381
22765,0.95024693,440989000.0,441427000.0,204.15096
9542,0.95018536,431539000.0,577201000.0,200.6993
6573,0.9501132,412420906.0,441427000.0,204.74948
4181,0.9500969,412209233.0,441427000.0,204.7549
14683,0.94994307,440648000.0,538004149.0,200.91396
7507,0.94978386,412993000.0,538004149.0,202.8682
22264,0.9496472,440986000.0,0.0,213.23163
3997,0.949548,352002409.0,441427000.0,214.48195
32715,0.9494491,1440620000.0,538004149.0,198.0631
7323,0.94940686,412985000.0,538004149.0,202.791
16475,0.9492803,440772000.0,440821000.0,203.47394
22606,0.9489812,440987000.0,577201000.0,207.51569
31438,0.9489775,994210481.0,577201000.0,217.60474
6503,0.94757515,412420906.0,440503000.0,208.87936
4111,0.94755995,412209233.0,440503000.0,208.8848
29230,0.9468194,577201000.0,577201000.0,188.61136
27011,0.9467213,529695000.0,538004149.0,192.59047
32163,0.9464525,1440045000.0,538004149.0,203.66096
10267,0.9464402,440045000.0,538004149.0,203.6621
30239,0.9462161,987767006.0,440503000.0,219.60335
30055,0.9461961,987767002.0,440503000.0,219.61159
4663,0.9461715,412328755.0,440503000.0,219.62112
8059,0.94611347,416122800.0,538004149.0,204.29701
18179,0.9459703,440820000.0,538004149.0,206.26927
32899,0.9459664,1440731000.0,538004149.0,208.42406
12291,0.945789,440549000.0,538004149.0,200.48033
13027,0.9457733,440595000.0,538004149.0,200.4854
29871,0.9456003,987711004.0,440503000.0,219.67195
4479,0.9455962,412326893.0,440503000.0,219.67271
31527,0.945596,994310142.0,440503000.0,219.67255
33735,0.9455947,1987711003.0,440503000.0,219.67302
29687,0.9455914,987711002.0,440503000.0,219.67418
11198,0.9455519,440246000.0,577201000.0,200.84119
30309,0.945227,987767006.0,441427000.0,215.27245
30125,0.9452036,987767002.0,441427000.0,215.28337
4733,0.9451714,412328755.0,441427000.0,215.29533
18915,0.9451044,440858000.0,538004149.0,197.65462
24605,0.94496036,441427000.0,441427000.0,206.33263
29941,0.94459826,987711004.0,441427000.0,215.38622
4549,0.9445931,412326893.0,441427000.0,215.38786
33805,0.9445917,1987711003.0,441427000.0,215.38821
31597,0.94459134,994310142.0,441427000.0,215.38797
29757,0.94458735,987711002.0,441427000.0,215.39049
11739,0.94445395,440503000.0,538004149.0,196.3187
28399,0.9444215,576872000.0,440503000.0,196.9522
22305,0.9443264,440986000.0,413379250.0,206.12158
32347,0.9441984,1440604000.0,538004149.0,199.24374
13774,0.9441413,440628000.0,577201000.0,208.51753
25355,0.9441409,441524000.0,538004149.0,201.78197
30702,0.9440358,994010681.0,577201000.0,213.45143
9163,0.94372445,416898000.0,538004149.0,207.53545
27365,0.9436117,544117120.0,441427000.0,213.5911
28469,0.9432901,576872000.0,441427000.0,199.49583
26680,0.9430098,518100405.0,0.0,210.78784
27295,0.9425397,544117120.0,440503000.0,215.45923
20203,0.9424532,440919000.0,538004149.0,205.31367
28494,0.94235903,576872000.0,577201000.0,221.37923
8895,0.9421008,416791000.0,440503000.0,199.01738
12670,0.94200283,440584000.0,577201000.0,212.9285
17086,0.94196606,440781000.0,577201000.0,217.00246
14131,0.94179165,440645000.0,538004149.0,200.57191
10094,0.9415101,432914000.0,577201000.0,203.30943
28215,0.9413385,576699000.0,440503000.0,198.95746
22363,0.9410484,440986000.0,440821000.0,208.02391
24535,0.9407456,441427000.0,440503000.0,212.10832
23501,0.9405652,441043000.0,441427000.0,199.45161
7875,0.9397658,416052600.0,538004149.0,203.09547
26721,0.93971455,518100405.0,413379250.0,202.86427
8965,0.9395257,416791000.0,441427000.0,204.98055
24288,0.9395072,441418000.0,0.0,211.65999
28851,0.93931687,577145000.0,538004149.0,203.14224
3275,0.9393167,110060309.0,538004149.0,203.14218
5299,0.93918395,412329431.0,538004149.0,211.71266
28285,0.9386215,576699000.0,441427000.0,204.8477
23431,0.9385744,441043000.0,440503000.0,203.60477
15787,0.937398,440733000.0,538004149.0,205.844
3459,0.93738735,224680000.0,538004149.0,196.92616
16465,0.93736124,440772000.0,440772000.0,211.11818
16155,0.9372878,440765000.0,538004149.0,201.64413
26091,0.9369355,441680000.0,538004149.0,205.8884
18742,0.9367826,440847000.0,577201000.0,207.59047
29403,0.93670875,577290000.0,538004149.0,203.36308
14499,0.93669754,440647000.0,538004149.0,203.34839
6219,0.9358871,412333795.0,538004149.0,208.7231
8597,0.93567854,416248700.0,441427000.0,199.16797
6941,0.93543804,412549296.0,441427000.0,199.21849
27273,0.9351219,544117120.0,413379250.0,204.02043
8527,0.9350626,416248700.0,440503000.0,202.55002
7139,0.9348841,412679210.0,538004149.0,206.5388
6871,0.93483573,412549296.0,440503000.0,202.59496
5101,0.9348111,412329429.0,441427000.0,203.52022
29035,0.9347758,577146000.0,538004149.0,201.75862
5469,0.93472123,412329432.0,441427000.0,203.5508
9715,0.9345902,431600275.0,538004149.0,198.9006
23883,0.9341895,441098000.0,538004149.0,212.37402
16550,0.933838,440772000.0,1440045000.0,212.18456
16431,0.9338191,440772000.0,440045000.0,212.1862
24067,0.9337996,441233000.0,538004149.0,198.64542
5031,0.93372494,412329429.0,440503000.0,207.82138
5399,0.9336253,412329432.0,440503000.0,207.86371
17664,0.9332891,440807000.0,0.0,208.90541
22238,0.9330761,440966000.0,577201000.0,207.76624
20755,0.9326608,440933000.0,538004149.0,203.0285
17705,0.93230426,440807000.0,413379250.0,210.89252
22632,0.93195975,440989000.0,0.0,206.38353
28310,0.9315053,576699000.0,577201000.0,213.85918
8990,0.931405,416791000.0,577201000.0,213.8988
30875,0.9313822,994010684.0,538004149.0,192.18558
22963,0.9310828,440992000.0,538004149.0,198.01721
29587,0.93028224,577319000.0,538004149.0,201.32797
15235,0.9302636,440699000.0,538004149.0,202.67604
27048,0.93025416,538004149.0,0.0,213.8361
17911,0.9302084,440809000.0,440503000.0,200.34683
33635,0.9301858,1576850000.0,538004149.0,201.32243
17638,0.930156,440788000.0,577201000.0,206.9834
31795,0.9298946,1412460299.0,538004149.0,201.33365
13590,0.92982113,440617000.0,577201000.0,211.88309
33267,0.9297942,1440992000.0,538004149.0,200.46622
13127,0.9295347,440604000.0,440503000.0,197.66156
3643,0.92952913,224733000.0,538004149.0,197.41104
31979,0.92936504,1413387561.0,538004149.0,203.02289
9910,0.92929876,432468000.0,577201000.0,207.9595
28667,0.92914826,577021000.0,538004149.0,202.89864
14878,0.9290275,440654000.0,577201000.0,210.70695
19835,0.92883396,440895000.0,538004149.0,204.94545
26779,0.9288107,518100405.0,440821000.0,199.31932
3680,0.92847335,352001165.0,0.0,212.58488
7423,0.9282904,412993000.0,440503000.0,196.62651
7239,0.9277898,412985000.0,440503000.0,196.6594
22353,0.92778724,440986000.0,440772000.0,215.77339
17981,0.9277114,440809000.0,441427000.0,203.77702
3864,0.9276316,352002409.0,0.0,219.56993
15051,0.92749774,440656000.0,538004149.0,200.83022
4847,0.927494,412328758.0,440503000.0,217.47557
6687,0.9274761,412549011.0,440503000.0,217.4807
15430,0.9274358,440704000.0,577201000.0,206.2645
4917,0.927232,412328758.0,441427000.0,214.703
24387,0.92722845,441418000.0,440821000.0,201.75568
6757,0.92720795,412549011.0,441427000.0,214.71011
13197,0.9271639,440604000.0,441427000.0,203.8963
16707,0.92709213,440773000.0,538004149.0,202.14049
9358,0.9268801,431044000.0,577201000.0,201.78145
24814,0.92687887,441431000.0,577201000.0,206.74915
8427,0.9265991,416176700.0,538004149.0,202.26309
16508,0.92657226,440772000.0,441418000.0,209.16394
18006,0.9263273,440809000.0,577201000.0,223.70619
30217,0.9262784,987767006.0,413379250.0,200.0406
4641,0.92627215,412328755.0,413379250.0,200.03282
30033,0.9262721,987767002.0,413379250.0,200.03755
31505,0.92570275,994310142.0,413379250.0,199.97765
29665,0.9257021,987711002.0,413379250.0,199.97917
4457,0.9256922,412326893.0,413379250.0,199.97723
33713,0.9256896,1987711003.0,413379250.0,199.97667
29849,0.9256827,987711004.0,413379250.0,199.97592
7493,0.92545426,412993000.0,441427000.0,202.88834
27917,0.92521775,553111790.0,441427000.0,211.22769
31243,0.9251945,994135022.0,538004149.0,202.23778
27549,0.9251895,548954200.0,441427000.0,211.23653
11909,0.9251555,440517000.0,441427000.0,208.26616
3470,0.9250274,224680000.0,577201000.0,206.79845
25539,0.92502636,441584000.0,538004149.0,207.599
7309,0.92490906,412985000.0,441427000.0,202.81116
6440,0.92400396,412420906.0,0.0,208.72487
4048,0.9239786,412209233.0,0.0,208.73058
17763,0.9238143,440807000.0,440821000.0,204.19836
27847,0.9229712,553111790.0,440503000.0,213.8449
27479,0.922946,548954200.0,440503000.0,213.85248
22438,0.9223659,440986000.0,1440045000.0,217.13922
22319,0.922344,440986000.0,440045000.0,217.14088
7975,0.922184,416122800.0,440503000.0,198.52538
30507,0.9220257,994010101.0,538004149.0,201.38493
30176,0.9216709,987767006.0,0.0,220.3571
11839,0.92166847,440517000.0,440503000.0,211.7054
8795,0.921653,416368000.0,538004149.0,199.83731
29992,0.9216383,987767002.0,0.0,220.36784
4600,0.9215934,412328755.0,0.0,220.37973
26470,0.9212035,441812000.0,577201000.0,209.13942
29808,0.9207392,987711004.0,0.0,220.46614
4416,0.9207323,412326893.0,0.0,220.4678
33672,0.9207305,1987711003.0,0.0,220.46817
31464,0.9207302,994310142.0,0.0,220.46793
29624,0.92072475,987711002.0,0.0,220.47044
23710,0.9201184,441084000.0,577201000.0,216.26741
32885,0.92004955,1440731000.0,441427000.0,207.6044
32263,0.919961,1440604000.0,440503000.0,192.84976
15957,0.91989994,440751000.0,441427000.0,204.46765
8243,0.9197624,416123900.0,538004149.0,199.91483
32815,0.919729,1440731000.0,440503000.0,203.63005
3905,0.91950476,352002409.0,413379250.0,197.20949
8045,0.91942054,416122800.0,441427000.0,203.78125
