test_mae,test_mre,test_rmse,max_mae_LPS_test,min_mae_LPS_test,max_mre_LPS_test,min_mre_LPS_test,max_rmse_LPS_test,min_rmse_LPS_test,max_mae_CC_test,min_mae_CC_test,max_mre_CC_test,min_mre_CC_test,max_rmse_CC_test,min_rmse_CC_test,max_mae_KHR_test,min_mae_KHR_test,max_mre_KHR_test,min_mre_KHR_test,max_rmse_KHR_test,min_rmse_KHR_test,val_mae,val_mre,val_rmse,max_mae_LPS_val,min_mae_LPS_val,max_mre_LPS_val,min_mre_LPS_val,max_rmse_LPS_val,min_rmse_LPS_val,max_mae_CC_val,min_mae_CC_val,max_mre_CC_val,min_mre_CC_val,max_rmse_CC_val,min_rmse_CC_val,max_mae_KHR_val,min_mae_KHR_val,max_mre_KHR_val,min_mre_KHR_val,max_rmse_KHR_val,min_rmse_KHR_val,model,db,seed
75.85144,0.2439631502662838,111.528946,98.12135,64.510345,0.34215776254829433,0.2006762415962927,141.58774,95.35321,79.82142,69.40072,0.2896489718886794,0.21651406960055342,117.7829,100.813286,128.15651,70.68201,0.4673433869224989,0.22185403047036287,162.37764,104.34402,76.73945,0.2497448781759771,113.19909,97.94314,65.95628,0.34432103348715565,0.2055138182636994,143.5773,96.90851,78.907394,69.65042,0.29014948515631034,0.221488473495657,120.462616,103.36627,122.09025,69.47922,0.44660708814813227,0.2289307080752414,150.54578,98.75386,geode,pem07,53728009
73.94977,0.23784674051436086,109.92952,97.88214,61.217106,0.34132359110485805,0.19342564035741494,140.6334,93.33242,79.51623,64.62983,0.28854150929458383,0.20163000660338407,118.012474,99.5237,125.04227,68.12455,0.45598680865477464,0.21382676768395098,150.22115,103.56855,74.943695,0.24390070060089047,111.815765,97.94624,62.432613,0.3443319421915667,0.20007101107238837,143.03427,93.78021,78.982666,65.025764,0.29042628579127083,0.20678205958419346,117.75223,97.66704,118.103775,68.678024,0.43202453094131305,0.22278306482165341,136.4635,97.70401,geode,pem07,15900376
73.11425,0.23515944515644566,108.1099,98.92723,60.015755,0.3449679274040936,0.18962976626601616,140.95146,90.50261,79.00642,65.40838,0.28669155230631016,0.20405890959427947,116.34365,97.708336,129.63077,67.07224,0.4727195050562261,0.21052382865850108,154.9734,99.28286,74.00813,0.2408559447139155,109.92681,99.125854,60.9892,0.34847888325667864,0.19544546712300073,143.4953,90.865814,78.552376,65.52314,0.2888440710298557,0.20836371002755952,116.311295,98.949776,124.39323,66.88297,0.455031404763295,0.21877890105072834,143.94101,94.025154,geode,pem07,15900376
73.31952,0.23581966955219436,108.99069,98.77933,59.680016,0.3444521691022237,0.18856894994829332,141.41493,90.13521,79.291565,66.25379,0.2877262643183773,0.2066963911825728,117.9984,100.8001,136.83571,66.68209,0.4989934907254608,0.209299249661129,164.57492,100.95155,74.41966,0.2421952404360958,111.107864,99.08519,60.403763,0.3483359325606391,0.1935693688416346,143.89789,90.2124,78.89499,66.514336,0.29010387544075145,0.21151571859368173,117.80081,100.47898,130.49533,68.6305,0.4773529654887137,0.21799376417497102,153.11877,96.103966,geode,pem07,15900376
74.13745,0.23845039402450358,109.61371,97.41856,62.191036,0.33970704617024894,0.19300921334204887,139.67639,92.79196,79.29959,66.625275,0.287755407443769,0.20785534327517688,116.495056,98.573906,128.83737,67.85432,0.4698263010770008,0.21297858918507573,162.05481,103.78472,75.16772,0.2446297580059288,111.61714,97.690384,63.51802,0.34343246992785187,0.19708436990342407,142.08665,94.64028,78.60663,67.47035,0.2890435639596481,0.21455585931077154,118.34408,101.43337,123.08962,69.88231,0.45026279127342833,0.22140200661840964,149.97543,100.03279,geode,pem07,15900376
73.55116,0.23656469783763714,108.78063,98.760704,60.19994,0.3443872270188377,0.19021173583295845,141.04953,90.98545,79.45995,66.66461,0.2883373167831517,0.20797806067016888,117.982956,98.940765,140.3078,66.9356,0.5116550516889197,0.2100949436418166,170.82819,102.296135,74.368935,0.24203016476354117,110.61647,99.02653,60.838917,0.3481296880448882,0.19433675374727422,143.17413,91.629005,78.5981,67.01714,0.2890122015599193,0.21311465050900918,117.246056,100.521095,135.30487,68.64458,0.4949462704494053,0.21748060916927378,161.11864,97.05033,geode,pem07,15900376
73.37655,0.2360030792013374,108.3819,98.351616,60.673515,0.34296069950592717,0.1917080748692394,140.23236,92.13399,79.36869,66.34128,0.28800613840482486,0.2069693400729699,117.33722,96.53414,124.98046,67.07564,0.455761438187673,0.21053449587910628,155.22137,101.72451,74.251114,0.24164670438057634,110.05161,98.61109,61.648373,0.34666923419844986,0.19702178329772768,142.6708,92.16866,78.831406,66.854095,0.2898700913268198,0.21259614039035116,117.06729,100.16536,119.13521,68.99612,0.4357975173033724,0.21859435349252154,142.59158,96.64728,geode,pem07,15900376
73.300224,0.23575760308926957,108.392044,96.69292,61.37743,0.33717666353405834,0.19246470892637516,138.18942,92.68126,78.31552,66.62174,0.28418448098786375,0.20784432124537625,115.26149,100.476295,122.52657,67.471306,0.44681293346030826,0.21177640537494055,149.34566,101.30314,74.34831,0.2419630457888166,110.34177,97.04642,62.593723,0.3411685929183023,0.1981765752747566,141.20949,93.06451,78.19731,66.55219,0.28753847385437536,0.21163609525906157,115.65713,99.3052,116.638016,68.94948,0.42666276644420875,0.22048107886433935,139.1089,96.34382,geode,pem07,63273150
73.214096,0.23548057984633358,107.71784,97.36513,60.371548,0.33952073841621916,0.19075395020558164,138.25821,90.67047,79.502205,66.494026,0.28849063392850754,0.20744586872197063,116.153404,97.770325,123.81431,67.30108,0.4515088587121538,0.21124210311933433,153.50096,101.86067,74.12778,0.24124533130279888,109.36437,97.633606,61.51927,0.3432328464706606,0.19714413078118873,140.72368,90.845,79.051186,66.489136,0.2906782222669132,0.21143557741645627,116.00898,99.22123,118.49665,68.47857,0.433461685922455,0.21969641831409878,142.30145,96.14687,geode,pem07,10799678
72.98432,0.23474155054987236,107.99631,95.32546,60.7031,0.3324082292336467,0.19180154937362742,137.87552,91.61835,78.18619,65.41161,0.28371518850097577,0.20406898922004507,115.452805,100.31731,117.228714,67.6531,0.4274934269977889,0.2123469970967232,147.44284,99.432,73.86977,0.24040563351034008,110.017715,95.452934,61.711296,0.3355666523589576,0.19775948208392868,140.4364,92.097305,77.6218,65.18583,0.2854222745769553,0.20729107148925438,115.22988,98.46198,111.88225,66.938835,0.40926612857049144,0.22056027266729666,135.41101,94.364685,geode,pem07,72833750
73.32692,0.23584345575326116,107.6127,96.45861,61.69747,0.33635962067961106,0.19417129369323685,137.46727,91.81286,78.5143,66.160385,0.2849057912132166,0.20640500395236056,115.68924,98.47218,118.51444,67.574165,0.4321820379131551,0.21209926060922318,144.96536,99.47374,74.13107,0.24125605746735734,109.60972,96.738976,62.340816,0.3400877561518383,0.19977684209496374,140.27,92.13891,77.99953,65.51812,0.2868111895672793,0.20834774775193107,115.5991,98.71382,112.29652,67.88548,0.41078154066332523,0.22010845893910186,133.46599,94.35098,geode,pem07,53728009
